"","unid","cft_score"
"1",41964,4
"2",41964,4
"3",15241,4
"4",33702,5
"5",33702,5
"6",33702,5
"7",101252,10
"8",83023,7
"9",80756,4
"10",80756,4
"11",80756,4
"12",80756,4
"13",68158,7
"14",68536,6
"15",33247,7
"16",33247,7
"17",31785,3
"18",50166,9
"19",85832,7
"20",33026,6
"21",33026,6
"22",33026,6
"23",33026,6
"24",33026,6
"25",49231,2
"26",37000,7
"27",99562,7
"28",99562,7
"29",70127,9
"30",70127,9
"31",70127,9
"32",30928,5
"33",35670,7
"34",35670,7
"35",35670,7
"36",35670,7
"37",35670,7
"38",35670,7
"39",20374,9
"40",20374,9
"41",8626,5
"42",8626,5
"43",8626,5
"44",33528,5
"45",67287,6
"46",13383,6
"47",21344,4
"48",8518,6
"49",6604,6
"50",73520,8
"51",83831,6
"52",83831,6
"53",83831,6
"54",60030,4
"55",84113,7
"56",86406,7
"57",41557,7
"58",93261,1
"59",64464,6
"60",31548,4
"61",31548,4
"62",37802,7
"63",55723,7
"64",101917,6
"65",14736,3
"66",70302,4
"67",70302,4
"68",21318,8
"69",21318,8
"70",27983,5
"71",27983,5
"72",27983,5
"73",49750,5
"74",102295,2
"75",102295,2
"76",102295,2
"77",85395,9
"78",85395,9
"79",22599,6
"80",41448,3
"81",57884,4
"82",92024,5
"83",55727,6
"84",67594,3
"85",22096,6
"86",52931,3
"87",13910,6
"88",20134,1
"89",16018,3
"90",16018,3
"91",16018,3
"92",16018,3
"93",16018,3
"94",45163,4
"95",45163,4
"96",18321,5
"97",18321,5
"98",36903,5
"99",36903,5
"100",36903,5
"101",36903,5
"102",36903,5
"103",34083,2
"104",34083,2
"105",17592,5
"106",17592,5
"107",6600,4
"108",6600,4
"109",66582,5
"110",52394,6
"111",35702,6
"112",35702,6
"113",35702,6
"114",88123,7
"115",88123,7
"116",28132,6
"117",18401,5
"118",18401,5
"119",18845,6
"120",53790,3
"121",7565,2
"122",7565,2
"123",7565,2
"124",7565,2
"125",7565,2
"126",85789,7
"127",64289,6
"128",95190,5
"129",64987,2
"130",44703,6
"131",78425,6
"132",78425,6
"133",26766,7
"134",75580,3
"135",12212,6
"136",12212,6
"137",12212,6
"138",57824,2
"139",12774,3
"140",83372,3
"141",20345,6
"142",20345,6
"143",20345,6
"144",68485,4
"145",68485,4
"146",68485,4
"147",68485,4
"148",68485,4
"149",46458,7
"150",46458,7
"151",47927,5
"152",47927,5
"153",47927,5
"154",47927,5
"155",50342,5
"156",50342,5
"157",17375,7
"158",31975,9
"159",43108,5
"160",13500,6
"161",7068,7
"162",7068,7
"163",73083,9
"164",73083,9
"165",100696,6
"166",100696,6
"167",24013,6
"168",92841,6
"169",92841,6
"170",50843,4
"171",50843,4
"172",12367,3
"173",12367,3
"174",71611,8
"175",27324,7
"176",6898,7
"177",6898,7
"178",27908,6
"179",27908,6
"180",83598,6
"181",83598,6
"182",83598,6
"183",51374,4
"184",51374,4
"185",51374,4
"186",60970,8
"187",60970,8
"188",61302,9
"189",61302,9
"190",61302,9
"191",36391,6
"192",36391,6
"193",41317,4
"194",50854,5
"195",62923,6
"196",62923,6
"197",62923,6
"198",68787,2
"199",68787,2
"200",68787,2
"201",99415,3
"202",78159,7
"203",91300,7
"204",91300,7
"205",91300,7
"206",37501,6
"207",37501,6
"208",84494,7
"209",62611,5
"210",74847,3
"211",24397,6
"212",24397,6
"213",4842,3
"214",4842,3
"215",46059,6
"216",46059,6
"217",10293,6
"218",10293,6
"219",10293,6
"220",5503,3
"221",52498,6
"222",68822,9
"223",52043,6
"224",52043,6
"225",62134,6
"226",38827,6
"227",21764,7
"228",60598,2
"229",60598,2
"230",33704,10
"231",28337,7
"232",14644,7
"233",10820,7
"234",54421,6
"235",54421,6
"236",40130,5
"237",3894,3
"238",52687,5
"239",52687,5
"240",25360,9
"241",53483,6
"242",19769,4
"243",19769,4
"244",19769,4
"245",19769,4
"246",19769,4
"247",76952,5
"248",76952,5
"249",79220,3
"250",79220,3
"251",79220,3
"252",79220,3
"253",79220,3
"254",79220,3
"255",52623,2
"256",70657,6
"257",24817,6
"258",31728,6
"259",3270,4
"260",61049,3
"261",62001,6
"262",62001,6
"263",62001,6
"264",62001,6
"265",54691,4
"266",87775,5
"267",87775,5
"268",77849,9
"269",60757,2
"270",57982,7
"271",98874,1
"272",67719,7
"273",18656,3
"274",47802,7
"275",47802,7
"276",47802,7
"277",81863,5
"278",58439,7
"279",84771,6
"280",21494,4
"281",96924,7
"282",31905,6
"283",31905,6
"284",33368,9
"285",33368,9
"286",33368,9
"287",33368,9
"288",5800,2
"289",5800,2
"290",5800,2
"291",5800,2
"292",96076,5
"293",37246,7
"294",63950,4
"295",63950,4
"296",73199,7
"297",78899,6
"298",6621,6
"299",6621,6
"300",6621,6
"301",6621,6
"302",6621,6
"303",6621,6
"304",65888,5
"305",65888,5
"306",65888,5
"307",64662,8
"308",64662,8
"309",64662,8
"310",64662,8
"311",64662,8
"312",64662,8
"313",35463,3
"314",35463,3
"315",77813,6
"316",48767,6
"317",54766,6
"318",54766,6
"319",60069,8
"320",37837,4
"321",19694,4
"322",14690,7
"323",19005,6
"324",19005,6
"325",10928,6
"326",10928,6
"327",10928,6
"328",10928,6
"329",75095,7
"330",99633,6
"331",17337,6
"332",17337,6
"333",17337,6
"334",84260,5
"335",84260,5
"336",94331,9
"337",93084,6
"338",12821,6
"339",12821,6
"340",28931,5
"341",24481,8
"342",91115,7
"343",26134,3
"344",95538,3
"345",95538,3
"346",52641,5
"347",44266,3
"348",78752,6
"349",12359,7
"350",12359,7
"351",42262,4
"352",62739,8
"353",27158,6
"354",100371,8
"355",100371,8
"356",19728,5
"357",19728,5
"358",77948,6
"359",35471,4
"360",1017,7
"361",1017,7
"362",1017,7
"363",24753,1
"364",41483,4
"365",41483,4
"366",26839,3
"367",29585,5
"368",19403,7
"369",19403,7
"370",30890,4
"371",30890,4
"372",30890,4
"373",14851,5
"374",5242,5
"375",15116,3
"376",16924,8
"377",101683,4
"378",101683,4
"379",75400,6
"380",33386,7
"381",33386,7
"382",33242,3
"383",38579,3
"384",50302,8
"385",73675,7
"386",73675,7
"387",89612,8
"388",31205,6
"389",31205,6
"390",31205,6
"391",51992,5
"392",51992,5
"393",51992,5
"394",51992,5
"395",46452,6
"396",46452,6
"397",46452,6
"398",45188,8
"399",15620,4
"400",64594,10
"401",65622,7
"402",65622,7
"403",20971,6
"404",12806,4
"405",7035,3
"406",7035,3
"407",44831,6
"408",27612,7
"409",64152,3
"410",64152,3
"411",90078,7
"412",51282,6
"413",51282,6
"414",51282,6
"415",61016,8
"416",96785,8
"417",96785,8
"418",96785,8
"419",96785,8
"420",96785,8
"421",17110,5
