"","unid","com_score"
"1",41964,4
"2",41964,4
"3",15241,5
"4",33702,5
"5",33702,5
"6",33702,5
"7",68158,8
"8",68536,6
"9",33026,5
"10",33026,5
"11",33026,5
"12",33026,5
"13",33026,5
"14",37000,6
"15",70127,9
"16",70127,9
"17",70127,9
"18",35670,6
"19",35670,6
"20",35670,6
"21",35670,6
"22",35670,6
"23",35670,6
"24",20374,9
"25",20374,9
"26",8626,6
"27",8626,6
"28",8626,6
"29",67287,5
"30",13383,5
"31",21344,4
"32",8518,5
"33",83831,6
"34",83831,6
"35",83831,6
"36",84113,6
"37",41557,3
"38",64464,4
"39",31548,5
"40",31548,5
"41",37802,7
"42",101917,7
"43",70302,6
"44",70302,6
"45",27983,5
"46",27983,5
"47",27983,5
"48",49750,5
"49",22599,7
"50",41448,5
"51",57884,5
"52",92024,5
"53",55727,5
"54",67594,7
"55",22096,7
"56",52931,4
"57",20134,5
"58",16018,4
"59",16018,4
"60",16018,4
"61",16018,4
"62",16018,4
"63",45163,4
"64",45163,4
"65",18321,7
"66",18321,7
"67",34083,5
"68",34083,5
"69",6600,4
"70",6600,4
"71",52394,5
"72",35702,6
"73",35702,6
"74",35702,6
"75",88123,6
"76",88123,6
"77",28132,5
"78",18401,4
"79",18401,4
"80",53790,4
"81",85789,6
"82",64289,4
"83",64987,4
"84",75580,4
"85",12212,6
"86",12212,6
"87",12212,6
"88",57824,5
"89",12774,7
"90",83372,5
"91",68485,5
"92",68485,5
"93",68485,5
"94",68485,5
"95",68485,5
"96",46458,5
"97",46458,5
"98",47927,4
"99",47927,4
"100",47927,4
"101",47927,4
"102",17375,6
"103",31975,7
"104",43108,4
"105",13500,6
"106",100696,6
"107",100696,6
"108",24013,8
"109",92841,5
"110",92841,5
"111",50843,4
"112",50843,4
"113",12367,5
"114",12367,5
"115",71611,6
"116",6898,4
"117",6898,4
"118",27908,5
"119",27908,5
"120",60970,8
"121",60970,8
"122",61302,8
"123",61302,8
"124",61302,8
"125",36391,5
"126",36391,5
"127",41317,5
"128",50854,7
"129",62923,6
"130",62923,6
"131",62923,6
"132",78159,5
"133",91300,6
"134",91300,6
"135",91300,6
"136",37501,5
"137",37501,5
"138",84494,6
"139",46059,5
"140",46059,5
"141",10293,4
"142",10293,4
"143",10293,4
"144",5503,4
"145",68822,4
"146",62134,4
"147",38827,6
"148",21764,4
"149",60598,5
"150",60598,5
"151",33704,9
"152",14644,8
"153",10820,4
"154",40130,7
"155",52687,7
"156",52687,7
"157",25360,9
"158",53483,6
"159",76952,7
"160",76952,7
"161",79220,5
"162",79220,5
"163",79220,5
"164",79220,5
"165",79220,5
"166",79220,5
"167",24817,5
"168",31728,5
"169",61049,5
"170",62001,7
"171",62001,7
"172",62001,7
"173",62001,7
"174",54691,6
"175",57982,7
"176",67719,6
"177",47802,8
"178",47802,8
"179",47802,8
"180",84771,5
"181",5800,2
"182",5800,2
"183",5800,2
"184",5800,2
"185",63950,4
"186",63950,4
"187",73199,5
"188",78899,7
"189",6621,5
"190",6621,5
"191",6621,5
"192",6621,5
"193",6621,5
"194",6621,5
"195",64662,6
"196",64662,6
"197",64662,6
"198",64662,6
"199",64662,6
"200",64662,6
"201",48767,5
"202",54766,6
"203",54766,6
"204",60069,5
"205",14690,6
"206",19005,5
"207",19005,5
"208",10928,5
"209",10928,5
"210",10928,5
"211",10928,5
"212",75095,3
"213",84260,6
"214",84260,6
"215",93084,5
"216",91115,5
"217",95538,7
"218",95538,7
"219",52641,5
"220",44266,5
"221",12359,7
"222",12359,7
"223",42262,3
"224",62739,5
"225",100371,7
"226",100371,7
"227",77948,7
"228",35471,5
"229",1017,5
"230",1017,5
"231",1017,5
"232",24753,7
"233",14851,5
"234",15116,3
"235",16924,6
"236",101683,4
"237",33242,3
"238",38579,4
"239",50302,5
"240",89612,8
"241",51992,6
"242",51992,6
"243",51992,6
"244",51992,6
"245",64594,9
"246",65622,6
"247",65622,6
"248",20971,6
"249",27612,7
"250",90078,7
"251",96785,9
"252",96785,9
"253",96785,9
"254",96785,9
"255",96785,9
"256",17110,6
"257",17110,6
"258",46377,5
"259",46377,5
"260",57744,5
"261",74859,4
"262",10688,3
"263",21832,7
"264",21832,7
"265",65214,6
"266",21115,6
"267",1241,5
"268",73129,4
"269",93308,8
"270",93308,8
"271",64973,7
"272",64973,7
"273",61244,6
"274",61244,6
"275",61244,6
"276",87135,7
"277",87135,7
"278",87135,7
"279",28588,6
"280",28588,6
"281",28588,6
"282",11881,6
"283",11881,6
"284",86102,5
"285",29949,7
"286",42390,3
"287",42390,3
"288",67187,5
"289",70739,7
"290",66352,5
"291",66352,5
"292",66352,5
"293",66352,5
"294",73944,6
"295",54325,4
"296",96747,4
"297",96747,4
"298",15288,5
"299",24550,7
"300",24550,7
"301",60235,7
"302",60235,7
"303",19680,6
"304",11162,5
"305",11162,5
"306",11162,5
"307",10580,5
"308",10580,5
"309",83131,5
"310",12676,2
"311",3367,4
"312",40602,5
"313",40602,5
"314",31429,5
"315",31429,5
"316",31429,5
"317",29760,6
"318",29760,6
"319",65820,6
"320",54195,7
"321",54195,7
"322",39814,5
"323",89903,6
"324",89903,6
"325",49992,6
"326",30264,5
"327",30264,5
"328",30264,5
"329",30264,5
"330",30264,5
"331",66021,5
"332",90930,6
"333",51122,4
"334",17838,6
"335",45864,7
"336",7600,5
"337",75674,4
"338",75674,4
"339",75674,4
"340",77202,5
"341",60089,7
"342",68177,5
"343",68177,5
"344",68177,5
"345",68177,5
"346",11340,2
"347",50328,6
"348",52544,5
"349",52544,5
"350",52544,5
"351",65333,6
"352",67729,5
"353",67729,5
"354",67729,5
"355",67729,5
"356",67729,5
"357",67729,5
"358",77052,7
"359",77052,7
"360",2131,4
"361",19515,4
"362",19515,4
"363",19515,4
"364",29636,5
"365",73041,5
"366",73041,5
"367",55029,9
"368",55029,9
"369",55029,9
"370",55029,9
"371",57907,7
"372",75456,6
"373",6522,5
"374",77731,6
"375",73669,7
"376",73669,7
"377",53962,5
"378",53962,5
"379",49959,6
"380",49959,6
"381",49959,6
"382",47988,5
"383",47988,5
"384",47988,5
"385",74440,5
"386",74440,5
"387",74054,5
"388",81279,5
"389",81021,6
"390",89080,5
"391",89080,5
"392",89080,5
"393",24265,5
"394",101060,8
"395",24354,7
"396",24354,7
"397",24354,7
"398",4477,4
"399",32855,6
"400",32855,6
"401",96426,6
"402",46334,5
"403",46334,5
"404",56092,4
"405",56092,4
"406",34328,7
"407",80105,3
"408",36763,5
"409",36763,5
"410",37520,7
"411",46977,6
"412",46977,6
"413",46977,6
"414",46977,6
"415",95901,4
"416",9243,6
"417",9243,6
"418",52980,5
"419",98268,4
"420",32337,4
"421",32337,4
