"","unid","grit_score"
"1",41964,4
"2",41964,9
"3",15241,3
"4",33702,2
"5",33702,2
"6",33702,0
"7",101252,0
"8",83023,4
"9",80756,0
"10",80756,0
"11",80756,5
"12",80756,5
"13",85374,2
"14",68158,4
"15",59944,4
"16",59944,4
"17",68536,2
"18",17380,1
"19",33247,6
"20",33247,2
"21",49786,3
"22",49786,2
"23",16962,2
"24",98435,5
"25",31785,5
"26",50166,8
"27",85832,8
"28",98602,9
"29",33026,3
"30",33026,9
"31",33026,1
"32",33026,6
"33",33026,6
"34",49231,9
"35",68280,5
"36",68280,5
"37",902,1
"38",902,1
"39",46301,0
"40",98865,3
"41",37000,2
"42",51323,1
"43",99562,4
"44",99562,7
"45",70127,4
"46",70127,6
"47",70127,3
"48",30928,5
"49",35670,7
"50",35670,6
"51",35670,9
"52",35670,1
"53",35670,8
"54",35670,7
"55",58890,1
"56",58890,6
"57",20374,9
"58",20374,5
"59",59011,4
"60",8626,9
"61",8626,5
"62",8626,7
"63",33528,5
"64",67287,4
"65",13383,3
"66",21344,7
"67",8518,6
"68",2533,6
"69",6604,6
"70",73520,5
"71",83831,1
"72",83831,6
"73",83831,6
"74",60030,8
"75",84113,0
"76",98518,1
"77",86406,7
"78",41557,0
"79",93261,0
"80",30658,8
"81",30658,1
"82",30658,3
"83",30658,7
"84",64464,3
"85",31548,5
"86",31548,8
"87",37802,8
"88",80518,1
"89",55723,2
"90",64761,0
"91",64761,6
"92",101917,7
"93",37741,6
"94",37741,6
"95",14736,1
"96",70302,3
"97",70302,7
"98",21318,8
"99",21318,6
"100",27983,5
"101",27983,9
"102",27983,7
"103",49750,1
"104",102295,2
"105",102295,4
"106",102295,2
"107",85395,3
"108",85395,4
"109",22599,6
"110",4987,8
"111",66992,3
"112",66992,0
"113",41448,6
"114",48666,2
"115",57884,9
"116",41891,9
"117",100163,6
"118",100163,4
"119",47993,5
"120",92024,4
"121",83911,7
"122",83911,5
"123",61091,9
"124",55727,0
"125",67594,8
"126",87481,0
"127",87481,1
"128",32739,4
"129",32739,3
"130",32739,6
"131",22096,4
"132",32404,9
"133",32404,0
"134",52931,1
"135",13910,8
"136",20134,3
"137",16018,0
"138",16018,1
"139",16018,1
"140",16018,4
"141",16018,6
"142",45163,8
"143",45163,0
"144",96799,3
"145",39101,3
"146",18321,7
"147",18321,4
"148",36903,0
"149",36903,7
"150",36903,6
"151",36903,2
"152",36903,6
"153",65752,6
"154",34083,0
"155",34083,2
"156",67474,6
"157",17592,4
"158",17592,2
"159",6600,4
"160",6600,9
"161",66582,7
"162",52394,1
"163",98721,3
"164",35702,4
"165",35702,0
"166",35702,0
"167",88123,9
"168",88123,1
"169",28132,5
"170",18401,0
"171",18401,6
"172",18845,4
"173",53790,0
"174",27100,1
"175",81469,3
"176",81469,4
"177",49674,5
"178",7565,3
"179",7565,5
"180",7565,4
"181",7565,3
"182",7565,2
"183",85789,3
"184",64289,9
"185",29101,9
"186",95190,3
"187",64987,9
"188",44703,7
"189",92248,8
"190",78425,5
"191",78425,9
"192",26766,4
"193",56480,9
"194",75580,7
"195",89600,0
"196",12212,2
"197",12212,5
"198",12212,2
"199",57824,0
"200",12774,1
"201",90837,9
"202",67362,9
"203",26905,7
"204",26905,7
"205",83372,8
"206",64115,5
"207",20345,9
"208",20345,5
"209",20345,1
"210",68485,2
"211",68485,9
"212",68485,9
"213",68485,3
"214",68485,2
"215",46458,2
"216",46458,6
"217",47927,5
"218",47927,9
"219",47927,7
"220",47927,0
"221",50342,6
"222",50342,9
"223",36566,2
"224",87145,1
"225",80844,3
"226",17375,6
"227",31975,7
"228",91430,3
"229",91430,0
"230",6607,7
"231",43108,7
"232",13500,2
"233",7068,8
"234",7068,8
"235",73083,7
"236",73083,1
"237",78203,9
"238",100696,1
"239",100696,2
"240",24013,1
"241",92841,5
"242",92841,2
"243",50843,5
"244",50843,6
"245",12367,3
"246",12367,1
"247",71611,2
"248",27258,0
"249",14150,6
"250",27324,8
"251",26995,1
"252",6898,4
"253",6898,1
"254",13103,4
"255",13103,1
"256",27908,0
"257",27908,6
"258",83598,4
"259",83598,8
"260",83598,3
"261",51374,5
"262",51374,8
"263",51374,0
"264",60970,0
"265",60970,7
"266",61302,4
"267",61302,3
"268",61302,8
"269",98422,6
"270",36391,9
"271",36391,1
"272",41317,4
"273",67739,2
"274",50854,2
"275",62923,8
"276",62923,6
"277",62923,5
"278",44598,1
"279",68787,6
"280",68787,4
"281",68787,6
"282",99415,3
"283",78159,8
"284",91300,7
"285",91300,4
"286",91300,6
"287",37501,7
"288",37501,7
"289",84494,5
"290",62611,6
"291",96152,7
"292",74847,1
"293",102264,8
"294",24397,4
"295",24397,4
"296",4842,1
"297",4842,8
"298",46059,2
"299",46059,2
"300",10293,7
"301",10293,4
"302",10293,2
"303",50027,9
"304",85723,7
"305",87675,0
"306",5503,8
"307",52498,4
"308",68822,2
"309",52043,3
"310",52043,5
"311",62134,8
"312",38827,5
"313",71322,4
"314",21764,8
"315",16239,2
"316",60598,7
"317",60598,7
"318",68146,2
"319",68146,9
"320",15669,3
"321",15669,4
"322",65176,4
"323",33704,7
"324",79683,0
"325",79683,3
"326",28337,4
"327",57891,3
"328",14644,3
"329",10820,5
"330",63696,2
"331",63696,4
"332",2609,8
"333",54421,0
"334",54421,2
"335",56669,1
"336",40130,0
"337",3894,2
"338",52687,9
"339",52687,0
"340",25360,2
"341",93080,4
"342",53483,6
"343",66329,0
"344",19769,6
"345",19769,6
"346",19769,3
"347",19769,4
"348",19769,7
"349",23484,6
"350",40375,6
"351",40375,5
"352",40375,4
"353",45670,5
"354",8010,4
"355",8010,7
"356",8010,8
"357",76952,3
"358",76952,0
"359",102272,5
"360",91042,1
"361",79220,4
"362",79220,2
"363",79220,3
"364",79220,9
"365",79220,9
"366",79220,8
"367",91421,8
"368",52623,4
"369",70657,0
"370",24817,5
"371",31728,9
"372",3270,0
"373",54101,7
"374",61049,8
"375",62001,7
"376",62001,7
"377",62001,7
"378",62001,2
"379",39260,1
"380",36705,9
"381",54691,2
"382",87775,7
"383",87775,5
"384",77849,3
"385",60757,2
"386",88886,9
"387",57982,2
"388",45013,4
"389",29502,7
"390",98874,0
"391",67719,7
"392",61413,3
"393",3232,5
"394",99094,5
"395",18656,7
"396",47802,5
"397",47802,0
"398",47802,2
"399",81863,8
"400",55159,2
"401",55159,8
"402",58439,5
"403",62273,2
"404",62273,3
"405",62273,9
"406",7228,3
"407",7228,0
"408",84771,6
"409",21494,2
"410",67347,7
"411",67347,9
"412",96924,2
"413",31905,0
"414",31905,4
"415",33368,4
"416",33368,2
"417",33368,2
"418",33368,3
"419",5800,2
"420",5800,3
"421",5800,3
"422",5800,1
"423",35738,7
"424",96076,5
"425",7631,8
"426",7631,3
"427",7631,4
"428",37246,8
"429",63950,3
"430",63950,5
"431",73199,6
"432",12251,0
"433",78899,1
"434",6515,5
"435",6621,2
"436",6621,6
"437",6621,9
"438",6621,9
"439",6621,9
"440",6621,6
"441",65888,3
"442",65888,8
"443",65888,1
"444",22518,9
"445",64662,4
"446",64662,8
"447",64662,2
"448",64662,7
"449",64662,5
"450",64662,9
"451",801,2
"452",35463,3
"453",35463,8
"454",52011,6
"455",52011,5
"456",60790,0
"457",6475,2
"458",77813,0
"459",65593,4
"460",48767,0
"461",54766,4
"462",54766,8
"463",60069,4
"464",37837,3
"465",19694,3
"466",56037,6
"467",4726,2
"468",33472,0
"469",14690,3
"470",89275,0
"471",3705,4
"472",3705,9
"473",3705,4
"474",19005,9
"475",19005,7
"476",45127,9
"477",1956,4
"478",10928,1
"479",10928,7
"480",10928,5
"481",10928,3
"482",75095,5
"483",99633,7
"484",17337,8
"485",17337,2
"486",17337,9
"487",53893,8
"488",53893,4
"489",84260,5
"490",84260,4
"491",37333,9
"492",94331,4
"493",93084,2
"494",12821,3
"495",12821,8
"496",90236,2
"497",90236,4
"498",90236,8
"499",28931,8
"500",24481,7
"501",91115,9
"502",51747,3
"503",26134,8
"504",95538,4
"505",95538,3
"506",52641,2
"507",44266,9
"508",78752,2
"509",40863,0
"510",38329,7
"511",38329,8
"512",38329,2
"513",12359,3
"514",12359,8
"515",77105,8
"516",42262,6
"517",2504,5
"518",62739,1
"519",91898,7
"520",27158,6
"521",60168,2
"522",100371,8
"523",100371,3
"524",19728,1
"525",19728,0
"526",77948,5
"527",5636,1
"528",5636,2
"529",82023,2
"530",35471,1
"531",60977,9
"532",68109,5
"533",1017,9
"534",1017,2
"535",1017,2
"536",24753,2
"537",87002,7
"538",41483,9
"539",41483,2
"540",56979,3
"541",26839,5
"542",29585,7
"543",67264,5
"544",82319,8
"545",19403,3
"546",19403,7
"547",30890,0
"548",30890,0
"549",30890,5
"550",14851,3
"551",5242,8
"552",52272,1
"553",95406,7
"554",95406,5
"555",15116,0
"556",16924,0
"557",101683,9
"558",101683,1
"559",75400,2
"560",64918,6
"561",64918,3
"562",64918,8
"563",33386,2
"564",33386,5
"565",33242,7
"566",38579,3
"567",50302,2
"568",100518,0
"569",100518,8
"570",100518,2
"571",73675,1
"572",73675,2
"573",89612,2
"574",62362,2
"575",68547,4
"576",68547,8
"577",31205,7
"578",31205,5
"579",31205,4
"580",42985,6
"581",95696,1
"582",51992,4
"583",51992,4
"584",51992,7
"585",51992,8
"586",4443,2
"587",4443,3
"588",80536,9
"589",80536,8
"590",80536,7
"591",87175,2
"592",87175,6
"593",87175,2
"594",46452,0
"595",46452,7
"596",46452,3
"597",45188,9
"598",15620,3
"599",16537,5
"600",64594,6
"601",11547,6
"602",41687,1
"603",41687,9
"604",6524,6
"605",6524,2
"606",65622,2
"607",65622,6
"608",20971,8
"609",12806,7
"610",97483,5
"611",88563,1
"612",88563,2
"613",91074,9
"614",91074,8
"615",7035,6
"616",7035,8
"617",44831,5
"618",20577,1
"619",27612,7
"620",64152,5
"621",64152,1
"622",90078,4
"623",24485,0
"624",24485,4
"625",51282,8
"626",51282,1
"627",51282,2
"628",61016,0
"629",16565,8
"630",96785,0
"631",96785,3
"632",96785,2
"633",96785,7
"634",96785,9
"635",20022,0
"636",20022,1
"637",17110,0
"638",17110,7
"639",46377,0
"640",46377,5
"641",99165,5
"642",3264,3
"643",51674,4
"644",57744,0
"645",83228,5
"646",10843,1
"647",10843,9
"648",10843,7
"649",51826,0
"650",101049,5
"651",101049,8
"652",74859,3
"653",2521,6
"654",10688,8
"655",74215,6
"656",14139,2
"657",10298,8
"658",21832,2
"659",21832,6
"660",26589,7
"661",65214,4
"662",87838,8
"663",21115,1
"664",1241,0
"665",73129,0
"666",18914,4
"667",68063,9
"668",58745,3
"669",58745,4
"670",58745,0
"671",92093,3
"672",93308,7
"673",93308,6
"674",2004,8
"675",2004,6
"676",2004,0
"677",23413,1
"678",33841,8
"679",29267,0
"680",29267,1
"681",87571,2
"682",64973,0
"683",64973,3
"684",61244,9
"685",61244,7
"686",61244,2
"687",87135,7
"688",87135,9
"689",87135,5
"690",9101,7
"691",53900,8
"692",28588,0
"693",28588,4
"694",28588,8
"695",6611,5
"696",89191,4
"697",11881,7
"698",11881,1
"699",78652,1
"700",86102,5
"701",56007,7
"702",29949,4
"703",82148,9
"704",42390,7
"705",42390,9
"706",67187,2
"707",70739,9
"708",14581,5
"709",66352,5
"710",66352,5
"711",66352,2
"712",66352,6
"713",73944,5
"714",811,1
"715",54325,2
"716",96747,4
"717",96747,4
"718",96103,3
"719",96103,5
"720",66082,8
"721",66082,3
"722",15288,4
"723",60942,1
"724",75470,2
"725",24550,6
"726",24550,3
"727",85739,3
"728",60235,1
"729",60235,0
"730",85541,1
"731",19680,1
"732",98824,0
"733",98824,2
"734",17859,4
"735",87876,7
"736",80382,4
"737",63597,0
"738",63597,0
"739",11162,0
"740",11162,6
"741",11162,4
"742",80150,3
"743",80150,8
"744",80150,5
"745",54724,2
