"","unid","num_score"
"1",68158,6
"2",68536,3
"3",33026,2
"4",33026,2
"5",33026,2
"6",33026,2
"7",33026,2
"8",37000,2
"9",70127,6
"10",70127,6
"11",70127,6
"12",35670,3
"13",35670,3
"14",35670,3
"15",35670,3
"16",35670,3
"17",35670,3
"18",20374,4
"19",20374,4
"20",8626,3
"21",8626,3
"22",8626,3
"23",83831,3
"24",83831,3
"25",83831,3
"26",84113,2
"27",41557,5
"28",64464,4
"29",37802,4
"30",101917,3
"31",22599,2
"32",92024,4
"33",55727,4
"34",67594,4
"35",18321,6
"36",18321,6
"37",52394,4
"38",35702,6
"39",35702,6
"40",35702,6
"41",88123,3
"42",88123,3
"43",28132,3
"44",18401,3
"45",18401,3
"46",85789,4
"47",12212,3
"48",12212,3
"49",12212,3
"50",13500,4
"51",100696,4
"52",100696,4
"53",24013,2
"54",92841,3
"55",92841,3
"56",71611,5
"57",6898,4
"58",6898,4
"59",27908,3
"60",27908,3
"61",61302,7
"62",61302,7
"63",61302,7
"64",36391,4
"65",36391,4
"66",78159,4
"67",91300,5
"68",91300,5
"69",91300,5
"70",37501,2
"71",37501,2
"72",84494,3
"73",46059,2
"74",46059,2
"75",10293,2
"76",10293,2
"77",10293,2
"78",68822,3
"79",62134,4
"80",38827,1
"81",21764,3
"82",60598,2
"83",60598,2
"84",33704,6
"85",10820,4
"86",25360,7
"87",53483,3
"88",76952,3
"89",76952,3
"90",24817,5
"91",31728,2
"92",62001,2
"93",62001,2
"94",62001,2
"95",62001,2
"96",57982,6
"97",67719,4
"98",47802,5
"99",47802,5
"100",47802,5
"101",84771,2
"102",6621,3
"103",6621,3
"104",6621,3
"105",6621,3
"106",6621,3
"107",6621,3
"108",64662,5
"109",64662,5
"110",64662,5
"111",64662,5
"112",64662,5
"113",64662,5
"114",48767,3
"115",60069,3
"116",19005,3
"117",19005,3
"118",10928,1
"119",10928,1
"120",10928,1
"121",10928,1
"122",75095,4
"123",91115,3
"124",44266,4
"125",62739,5
"126",100371,4
"127",100371,4
"128",77948,1
"129",1017,2
"130",1017,2
"131",1017,2
"132",14851,3
"133",16924,3
"134",101683,2
"135",33242,2
"136",64594,5
"137",20971,1
"138",90078,6
"139",96785,7
"140",96785,7
"141",96785,7
"142",96785,7
"143",96785,7
"144",57744,4
"145",65214,5
"146",21115,7
"147",93308,5
"148",93308,5
"149",64973,4
"150",64973,4
"151",61244,5
"152",61244,5
"153",61244,5
"154",87135,3
"155",87135,3
"156",87135,3
"157",86102,4
"158",29949,3
"159",67187,3
"160",70739,4
"161",96747,3
"162",96747,3
"163",15288,5
"164",24550,1
"165",24550,1
"166",11162,2
"167",11162,2
"168",11162,2
"169",83131,5
"170",29760,3
"171",29760,3
"172",65820,4
"173",54195,6
"174",54195,6
"175",39814,2
"176",89903,4
"177",89903,4
"178",49992,3
"179",30264,3
"180",30264,3
"181",30264,3
"182",30264,3
"183",30264,3
"184",66021,3
"185",90930,2
"186",17838,3
"187",45864,5
"188",7600,2
"189",75674,4
"190",75674,4
"191",75674,4
"192",60089,5
"193",11340,2
"194",50328,5
"195",52544,3
"196",52544,3
"197",52544,3
"198",77052,4
"199",77052,4
"200",29636,4
"201",73041,5
"202",73041,5
"203",55029,4
"204",55029,4
"205",55029,4
"206",55029,4
"207",75456,2
"208",77731,3
"209",73669,1
"210",73669,1
"211",53962,2
"212",53962,2
"213",74054,3
"214",81279,3
"215",81021,4
"216",101060,4
"217",24354,3
"218",24354,3
"219",24354,3
"220",4477,4
"221",32855,3
"222",32855,3
"223",46334,1
"224",46334,1
"225",34328,3
"226",36763,2
"227",36763,2
"228",95901,3
"229",9243,3
"230",9243,3
"231",52980,3
"232",32337,2
"233",32337,2
"234",7834,3
"235",7834,3
"236",7834,3
"237",7834,3
"238",74729,4
"239",9052,3
"240",84023,8
"241",1664,3
"242",42451,4
"243",42451,4
"244",83059,2
"245",80828,4
"246",42359,2
"247",42359,2
"248",42359,2
"249",42359,2
"250",46391,2
"251",68948,6
"252",68948,6
"253",68948,6
"254",68948,6
"255",68948,6
"256",43475,3
"257",43475,3
"258",56619,4
"259",29899,5
"260",29899,5
"261",29899,5
"262",29899,5
"263",29899,5
"264",31645,3
"265",89143,2
"266",6558,5
"267",6558,5
"268",6558,5
"269",61671,4
"270",42746,1
"271",76018,3
"272",61243,3
"273",34158,2
"274",34158,2
"275",82518,6
"276",56763,3
"277",58830,3
"278",15735,4
"279",15735,4
"280",40869,2
"281",40869,2
"282",40869,2
"283",40869,2
"284",62191,5
"285",7396,3
"286",56848,3
"287",69027,2
"288",69027,2
