"","unid","opt_score"
"1",41964,NA
"2",41964,NA
"3",15241,7
"4",33702,3
"5",33702,-5
"6",33702,-1
"7",101252,4
"8",83023,NA
"9",80756,6
"10",80756,5
"11",80756,5
"12",80756,6
"13",85374,NA
"14",68158,4
"15",59944,NA
"16",59944,NA
"17",68536,NA
"18",17380,NA
"19",33247,4
"20",33247,9
"21",49786,8
"22",49786,NA
"23",16962,NA
"24",98435,2
"25",31785,0
"26",50166,7
"27",85832,NA
"28",98602,NA
"29",33026,5
"30",33026,1
"31",33026,5
"32",33026,2
"33",33026,NA
"34",49231,6
"35",68280,5
"36",68280,3
"37",902,NA
"38",902,NA
"39",46301,10
"40",98865,-1
"41",37000,6
"42",51323,7
"43",99562,10
"44",99562,9
"45",70127,0
"46",70127,2
"47",70127,6
"48",30928,NA
"49",35670,2
"50",35670,5
"51",35670,4
"52",35670,3
"53",35670,4
"54",35670,4
"55",58890,8
"56",58890,NA
"57",20374,NA
"58",20374,NA
"59",59011,NA
"60",8626,13
"61",8626,7
"62",8626,8
"63",33528,3
"64",67287,4
"65",13383,0
"66",21344,7
"67",8518,8
"68",2533,NA
"69",6604,9
"70",73520,7
"71",83831,5
"72",83831,3
"73",83831,4
"74",60030,6
"75",84113,7
"76",98518,8
"77",86406,7
"78",41557,2
"79",93261,6
"80",30658,5
"81",30658,8
"82",30658,NA
"83",30658,NA
"84",64464,2
"85",31548,4
"86",31548,1
"87",37802,NA
"88",80518,NA
"89",55723,5
"90",64761,6
"91",64761,4
"92",101917,5
"93",37741,NA
"94",37741,NA
"95",14736,11
"96",70302,7
"97",70302,9
"98",21318,NA
"99",21318,NA
"100",27983,7
"101",27983,6
"102",27983,6
"103",49750,1
"104",102295,4
"105",102295,4
"106",102295,NA
"107",85395,7
"108",85395,8
"109",22599,NA
"110",4987,13
"111",66992,6
"112",66992,5
"113",41448,NA
"114",48666,5
"115",57884,5
"116",41891,3
"117",100163,2
"118",100163,NA
"119",47993,NA
"120",92024,2
"121",83911,8
"122",83911,NA
"123",61091,NA
"124",55727,5
"125",67594,NA
"126",87481,-3
"127",87481,NA
"128",32739,0
"129",32739,6
"130",32739,NA
"131",22096,1
"132",32404,NA
"133",32404,NA
"134",52931,8
"135",13910,7
"136",20134,6
"137",16018,5
"138",16018,6
"139",16018,4
"140",16018,1
"141",16018,5
"142",45163,11
"143",45163,9
"144",96799,6
"145",39101,NA
"146",18321,8
"147",18321,2
"148",36903,NA
"149",36903,NA
"150",36903,NA
"151",36903,NA
"152",36903,NA
"153",65752,NA
"154",34083,8
"155",34083,7
"156",67474,NA
"157",17592,10
"158",17592,7
"159",6600,NA
"160",6600,NA
"161",66582,3
"162",52394,4
"163",98721,6
"164",35702,7
"165",35702,4
"166",35702,NA
"167",88123,7
"168",88123,8
"169",28132,3
"170",18401,8
"171",18401,7
"172",18845,8
"173",53790,NA
"174",27100,4
"175",81469,3
"176",81469,2
"177",49674,5
"178",7565,NA
"179",7565,NA
"180",7565,NA
"181",7565,NA
"182",7565,NA
"183",85789,12
"184",64289,5
"185",29101,NA
"186",95190,8
"187",64987,6
"188",44703,NA
"189",92248,NA
"190",78425,3
"191",78425,NA
"192",26766,NA
"193",56480,12
"194",75580,1
"195",89600,NA
"196",12212,6
"197",12212,1
"198",12212,3
"199",57824,4
"200",12774,7
"201",90837,NA
"202",67362,NA
"203",26905,NA
