unid,survey_date_month,survey_num,gender,working,cft_score,num_score,com_score,grit_score,opt_score
41964,2018-06-01,1,Female,True,4.0,,4.0,9,
41964,2018-11-01,2,Female,True,4.0,,4.0,9,
15241,2016-03-01,1,Female,True,4.0,,5.0,3,7.0
33702,2016-04-01,1,Male,True,5.0,,5.0,2,3.0
33702,2016-08-01,2,Male,False,5.0,,5.0,2,3.0
33702,2016-12-01,3,Male,False,5.0,,5.0,2,3.0
101252,2018-04-01,1,Female,True,10.0,,,0,4.0
83023,2016-07-01,1,Male,False,7.0,,,4,
80756,2017-03-01,1,Female,False,4.0,,,5,6.0
80756,2017-07-01,2,Female,False,4.0,,,5,6.0
80756,2017-11-01,3,Female,False,4.0,,,5,6.0
80756,2018-03-01,4,Female,False,4.0,,,5,6.0
85374,2018-08-01,1,Female,False,,,,2,
68158,2016-02-01,1,Male,False,7.0,6.0,8.0,4,4.0
59944,2018-10-01,1,Male,False,,,,4,
59944,2018-11-01,2,Male,False,,,,4,
68536,2018-11-01,1,Male,False,6.0,3.0,6.0,2,
17380,2018-03-01,1,Male,False,,,,1,
33247,2016-10-01,1,Male,True,7.0,,,6,9.0
33247,2018-02-01,2,Male,True,7.0,,,6,9.0
49786,2018-02-01,1,Female,False,,,,3,8.0
49786,2018-05-01,2,Female,False,,,,3,8.0
16962,2018-03-01,1,Female,False,,,,2,
98435,2017-11-01,1,Male,False,,,,5,2.0
31785,2016-04-01,1,Female,True,3.0,,,5,0.0
50166,2017-06-01,1,Male,True,9.0,,,8,7.0
85832,2018-07-01,1,Female,False,7.0,,,8,
98602,2018-06-01,1,Female,True,,,,9,
33026,2016-07-01,1,Female,False,6.0,2.0,5.0,9,5.0
33026,2016-11-01,2,Female,True,6.0,2.0,5.0,9,5.0
33026,2017-02-01,3,Female,True,6.0,2.0,5.0,9,5.0
33026,2017-03-01,4,Female,True,6.0,2.0,5.0,9,5.0
33026,2018-07-01,5,Female,True,6.0,2.0,5.0,9,5.0
49231,2017-04-01,1,Female,False,2.0,,,9,6.0
68280,2017-12-01,1,Male,True,,,,5,5.0
68280,2018-04-01,2,Male,True,,,,5,5.0
902,2018-03-01,1,Female,False,,,,1,
902,2018-10-01,2,Female,True,,,,1,
46301,2017-08-01,1,Female,False,,,,0,10.0
98865,2018-03-01,1,Female,True,,,,3,-1.0
37000,2017-02-01,1,Female,False,7.0,2.0,6.0,2,6.0
51323,2018-02-01,1,Male,False,,,,1,7.0
99562,2017-06-01,1,Female,False,7.0,,,7,10.0
99562,2018-02-01,2,Female,True,7.0,,,7,10.0
70127,2016-07-01,1,Male,True,9.0,6.0,9.0,6,6.0
70127,2016-11-01,2,Male,False,9.0,6.0,9.0,6,6.0
70127,2018-02-01,3,Male,True,9.0,6.0,9.0,6,6.0
30928,2018-01-01,1,Female,False,5.0,,,5,
35670,2016-06-01,1,Male,False,7.0,3.0,6.0,9,5.0
35670,2016-10-01,2,Male,False,7.0,3.0,6.0,9,5.0
35670,2017-02-01,3,Male,False,7.0,3.0,6.0,9,5.0
35670,2017-06-01,4,Male,False,7.0,3.0,6.0,9,5.0
35670,2017-10-01,5,Male,False,7.0,3.0,6.0,9,5.0
35670,2018-02-01,6,Male,False,7.0,3.0,6.0,9,5.0
58890,2018-01-01,1,Male,False,,,,6,8.0
58890,2018-10-01,2,Male,False,,,,6,8.0
20374,2017-09-01,1,Female,False,9.0,4.0,9.0,9,
20374,2018-01-01,2,Female,False,9.0,4.0,9.0,9,
59011,2018-02-01,1,Male,False,,,,4,
8626,2016-07-01,1,Male,True,5.0,3.0,6.0,9,13.0
8626,2016-11-01,2,Male,False,5.0,3.0,6.0,9,13.0
8626,2018-02-01,3,Male,False,5.0,3.0,6.0,9,13.0
33528,2017-02-01,1,Female,False,5.0,,,5,3.0
67287,2017-03-01,1,Male,True,6.0,,5.0,4,4.0
13383,2017-03-01,1,Male,False,6.0,,5.0,3,0.0
21344,2016-02-01,1,Female,False,4.0,,4.0,7,7.0
8518,2016-06-01,1,Female,False,6.0,,5.0,6,8.0
2533,2018-05-01,1,Male,False,,,,6,
6604,2017-01-01,1,Male,False,6.0,,,6,9.0
73520,2017-06-01,1,Female,False,8.0,,,5,7.0
83831,2016-09-01,1,Female,False,6.0,3.0,6.0,6,5.0
83831,2017-01-01,2,Female,False,6.0,3.0,6.0,6,5.0
83831,2017-05-01,3,Female,False,6.0,3.0,6.0,6,5.0
60030,2017-02-01,1,Female,False,4.0,,,8,6.0
